title,doctype,keywords,collection,docno,relasedec,origclass,pagect,doccreation,docrelease,seqno,caseno,pubdate,file
CURRENT INTELLIGENCE BULLETIN - 1952/07/17,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02685623,RIPPUB,U,8,"June 6, 2019","June 27, 2019",,,"July 17, 1952",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15652956%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1958/07/05,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03169491,RIPPUB,U,14,"January 27, 2020","January 30, 2020",,,"July 5, 1958",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15777366%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1957/02/05,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03161989,RIPPUB,U,11,"December 12, 2019","December 20, 2019",,,"February 5, 1957",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15755714%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1954/06/15,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03001360,RIPPUB,U,10,"August 20, 2019","August 30, 2019",,,"June 15, 1954",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15689501%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1953/10/23,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02970160,RIPPUB,U,8,"July 15, 2019","July 22, 2019",,,"October 23, 1953",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15677458%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1958/01/23,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03015200,RIPPUB,U,16,"January 27, 2020","January 30, 2020",,,"January 23, 1958",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15772340%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1952/10/19,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02051072,RIPPUB,U,7,"June 6, 2019","June 27, 2019",,,"October 19, 1952",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15653066%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1954/06/10,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03001356,RIPPUB,U,9,"August 20, 2019","August 30, 2019",,,"June 10, 1954",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15689418%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1953/11/24,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03003746,RIPPUB,U,8,"July 15, 2019","July 22, 2019",,,"November 24, 1953",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15677490%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1958/06/02,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03192935,RIPPUB,U,19,"January 27, 2020","January 30, 2020",,,"June 2, 1958",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15772499%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1951/11/25,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02739317,RIPPUB,U,8,"April 15, 2019","April 22, 2019",,,"November 25, 1951",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15603126%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1960/01/04,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03007370,RIPPUB,U,10,"March 17, 2020","March 26, 2020",,,"January 4, 1960",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15799047%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1956/06/01,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03020486,RIPPUB,U,13,"October 25, 2019","October 31, 2019",,,"June 1, 1956",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15740259%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1954/02/06,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02993972,RIPPUB,U,6,"August 20, 2019","August 30, 2019",,,"February 6, 1954",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15689516%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1952/06/28,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02684313,RIPPUB,U,6,"May 24, 2019","May 30, 2019",,,"June 28, 1952",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15638452%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1955/07/19,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03448322,RIPPUB,U,7,"September 20, 2019","September 26, 2019",,,"July 19, 1955",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15721920%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1951/03/09,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03175207,RIPPUB,U,4,"March 18, 2019","March 28, 2019",,,"March 9, 1951",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587347%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1954/09/29,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02008413,RIPPUB,U,6,"August 20, 2019","August 30, 2019",,,"September 29, 1954",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15706650%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1955/09/20,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03000954,RIPPUB,U,6,"September 20, 2019","September 26, 2019",,,"September 20, 1955",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15722069%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1953/05/02,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02899765,RIPPUB,U,8,"July 15, 2019","July 22, 2019",,,"May 2, 1953",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671759%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1960/02/20,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03173542,RIPPUB,U,14,"March 17, 2020","March 26, 2020",,,"February 20, 1960",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15798708%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1952/07/03,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02685621,RIPPUB,U,7,"June 6, 2019","June 27, 2019",,,"July 3, 1952",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15653076%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1951/10/14,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02730349,RIPPUB,U,7,"April 15, 2019","April 22, 2019",,,"October 14, 1951",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15603269%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1959/10/10,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03164696,RIPPUB,U,16,"February 25, 2020","February 27, 2020",,,"October 10, 1959",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15787706%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1955/04/14,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03179877,RIPPUB,U,14,"September 20, 2019","September 26, 2019",,,"April 14, 1955",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15723820%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1960/07/20,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03185142,RIPPUB,U,13,"March 17, 2020","March 26, 2020",,,"July 20, 1960",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15798999%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1954/04/16,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02870937,RIPPUB,U,9,"August 20, 2019","August 30, 2019",,,"April 16, 1954",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15689666%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1957/05/05,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03178391,RIPPUB,U,10,"December 12, 2019","December 20, 2019",,,"May 5, 1957",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15755729%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1951/08/03,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02739451,RIPPUB,U,6,"April 15, 2019","April 22, 2019",,,"August 3, 1951",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15603304%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1955/05/28,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02985832,RIPPUB,U,6,"September 20, 2019","September 26, 2019",,,"May 28, 1955",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15722761%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1959/04/17,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03156037,RIPPUB,U,12,"February 25, 2020","February 27, 2020",,,"April 17, 1959",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15787491%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1957/07/10,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03169378,RIPPUB,U,11,"December 12, 2019","December 20, 2019",,,"July 10, 1957",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15757324%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1956/09/27,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03178377,RIPPUB,U,11,"October 25, 2019","October 31, 2019",,,"September 27, 1956",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15742408%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1957/03/21,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03160431,RIPPUB,U,11,"December 12, 2019","December 20, 2019",,,"March 21, 1957",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15755700%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1960/02/01,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03157411,RIPPUB,U,16,"March 17, 2020","March 26, 2020",,,"February 1, 1960",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15798850%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1959/12/29,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03007367,RIPPUB,U,11,"February 25, 2020","February 27, 2020",,,"December 29, 1959",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15787634%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1957/05/11,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03160450,RIPPUB,U,12,"December 12, 2019","December 20, 2019",,,"May 11, 1957",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15755724%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1955/07/21,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03448344,RIPPUB,U,9,"September 20, 2019","September 26, 2019",,,"July 21, 1955",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15721938%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1955/04/01,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03017432,RIPPUB,U,9,"September 20, 2019","September 26, 2019",,,"April 1, 1955",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15722753%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1952/04/08,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02692618,RIPPUB,U,7,"May 24, 2019","May 30, 2019",,,"April 8, 1952",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15638450%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1961/04/06,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02001977,RIPPUB,U,22,"August 14, 2020","August 27, 2020",,,"April 6, 1961",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15815772%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1955/12/04,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03019101,RIPPUB,U,11,"September 20, 2019","September 26, 2019",,,"December 4, 1955",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15722076%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1961/01/13,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03007375,RIPPUB,U,12,"August 14, 2020","August 27, 2020",,,"January 13, 1961",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15815581%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1955/07/12,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03448328,RIPPUB,U,5,"September 20, 2019","September 26, 2019",,,"July 12, 1955",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15721991%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1954/06/27,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03001371,RIPPUB,U,6,"August 20, 2019","August 30, 2019",,,"June 27, 1954",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15689642%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1953/11/27,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03003748,RIPPUB,U,6,"July 15, 2019","July 22, 2019",,,"November 27, 1953",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15677548%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1954/10/24,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03000847,RIPPUB,U,9,"August 20, 2019","August 30, 2019",,,"October 24, 1954",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15706811%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1959/06/06,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03191542,RIPPUB,U,13,"February 25, 2020","February 27, 2020",,,"June 6, 1959",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15787492%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1951/05/09,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02003059,RIPPUB,U,13,"March 18, 2019","March 28, 2019",,,"May 9, 1951",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587422%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1953/09/06,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02872238,RIPPUB,U,6,"July 15, 2019","July 22, 2019",,,"September 6, 1953",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15677421%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1957/12/05,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03192689,RIPPUB,U,15,"December 12, 2019","December 20, 2019",,,"December 5, 1957",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15757440%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1955/01/04,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03010825,RIPPUB,U,9,"September 20, 2019","September 26, 2019",,,"January 4, 1955",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15722745%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1955/10/16,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03002330,RIPPUB,U,7,"September 20, 2019","September 26, 2019",,,"October 16, 1955",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15722050%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1955/12/21,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03020467,RIPPUB,U,6,"September 20, 2019","September 26, 2019",,,"December 21, 1955",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15722031%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1952/09/10,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,05973612,RIPPUB,U,9,"June 6, 2019","June 27, 2019",,,"September 10, 1952",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15652983%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1961/06/21,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,05973644,RIPPUB,U,19,"August 14, 2020","August 27, 2020",,,"June 21, 1961",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15815761%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1958/05/07,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03179863,RIPPUB,U,16,"January 27, 2020","January 30, 2020",,,"May 7, 1958",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15772493%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1954/07/27,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02026950,RIPPUB,U,10,"August 20, 2019","August 30, 2019",,,"July 27, 1954",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15706611%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1957/06/09,SPECIALCOLLECTION,2018 Sanitization,Current/Central Intelligence Bulletin Collection,03153698,RIPPUB,U,9,"December 12, 2019","December 20, 2019",,,"June 9, 1957",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15755708%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1959/04/11,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03003306,RIPPUB,U,18,"February 25, 2020","February 27, 2020",,,"April 11, 1959",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15787527%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1957/04/09,SPECIALCOLLECTION,2018 Sanitization,Current/Central Intelligence Bulletin Collection,03003290,RIPPUB,U,8,"December 12, 2019","December 20, 2019",,,"April 9, 1957",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15755704%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1956/03/30,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02995590,RIPPUB,U,10,"October 25, 2019","October 31, 2019",,,"March 30, 1956",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15740159%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1957/04/24,SPECIALCOLLECTION,2018 Sanitization,Current/Central Intelligence Bulletin Collection,03003293,RIPPUB,U,9,"December 12, 2019","December 20, 2019",,,"April 24, 1957",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15755635%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1952/08/12,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,05973587,RIPPUB,U,7,"June 6, 2019","June 27, 2019",,,"August 12, 1952",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15653031%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1952/05/14,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02020562,RIPPUB,U,6,"May 24, 2019","May 30, 2019",,,"May 14, 1952",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15640727%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1953/02/08,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02050114,RIPPUB,U,5,"July 15, 2019","July 22, 2019",,,"February 8, 1953",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671698%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1953/06/16,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02020580,RIPPUB,U,9,"July 15, 2019","July 22, 2019",,,"June 16, 1953",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671676%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1954/08/01,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02020913,RIPPUB,U,6,"August 20, 2019","August 30, 2019",,,"August 1, 1954",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15706607%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1952/05/03,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02692631,RIPPUB,U,6,"May 24, 2019","May 30, 2019",,,"May 3, 1952",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15638358%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1953/05/21,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02901115,RIPPUB,U,9,"July 15, 2019","July 22, 2019",,,"May 21, 1953",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15671691%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1956/12/16,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03178386,RIPPUB,U,15,"October 25, 2019","October 31, 2019",,,"December 16, 1956",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15742069%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1957/02/21,SPECIALCOLLECTION,2018 Sanitization,Current/Central Intelligence Bulletin Collection,03161998,RIPPUB,U,13,"December 12, 2019","December 20, 2019",,,"February 21, 1957",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15755701%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1960/10/03,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02977784,RIPPUB,U,15,"March 17, 2020","March 26, 2020",,,"October 3, 1960",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15798916%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1959/09/01,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02989918,RIPPUB,U,13,"February 25, 2020","February 27, 2020",,,"September 1, 1959",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15787722%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1954/05/25,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03006394,RIPPUB,U,9,"August 20, 2019","August 30, 2019",,,"May 25, 1954",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15689545%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1958/12/15,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03000004,RIPPUB,U,18,"January 27, 2020","January 30, 2020",,,"December 15, 1958",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15777387%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1952/07/25,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,05973572,RIPPUB,U,10,"June 6, 2019","June 27, 2019",,,"July 25, 1952",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15653093%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1954/09/03,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03000934,RIPPUB,U,6,"August 20, 2019","August 30, 2019",,,"September 3, 1954",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15706877%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1959/11/04,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03157407,RIPPUB,U,13,"February 25, 2020","February 27, 2020",,,"November 4, 1959",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15787746%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1952/12/19,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02018019,RIPPUB,U,6,"June 6, 2019","June 27, 2019",,,"December 19, 1952",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15653087%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1954/07/16,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03001383,RIPPUB,U,5,"August 20, 2019","August 30, 2019",,,"July 16, 1954",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15706693%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1951/12/16,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02008394,RIPPUB,U,8,"April 15, 2019","April 22, 2019",,,"December 16, 1951",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15603121%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1953/07/17,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02020582,RIPPUB,U,9,"July 15, 2019","July 22, 2019",,,"July 17, 1953",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15677423%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1954/07/11,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03001381,RIPPUB,U,8,"August 20, 2019","August 30, 2019",,,"July 11, 1954",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15706778%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1951/08/04,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02739452,RIPPUB,U,9,"April 15, 2019","April 22, 2019",,,"August 4, 1951",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15602898%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1954/01/12,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03003778,RIPPUB,U,6,"August 20, 2019","August 30, 2019",,,"January 12, 1954",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15689401%5D.pdf
