title,doctype,keywords,collection,docno,relasedec,origclass,pagect,doccreation,docrelease,seqno,caseno,pubdate,file
CURRENT INTELLIGENCE BULLETIN - 1957/12/15,SPECIALCOLLECTION,2018 Sanitization,Current/Central Intelligence Bulletin Collection,02058870,RIPPUB,U,12,"December 12, 2019","December 20, 2019",,,"December 15, 1957",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15757502%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1959/11/10,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03157409,RIPPUB,U,11,"February 25, 2020","February 27, 2020",,,"November 10, 1959",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15787658%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1958/05/05,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03179861,RIPPUB,U,18,"January 27, 2020","January 30, 2020",,,"May 5, 1958",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15772354%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1952/05/08,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02064585,RIPPUB,U,8,"May 24, 2019","May 30, 2019",,,"May 8, 1952",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15638451%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1958/03/31,SPECIALCOLLECTION,2018 Sanitization,Current/Central Intelligence Bulletin Collection,03177788,RIPPUB,U,21,"January 27, 2020","January 30, 2020",,,"March 31, 1958",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15772489%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1960/05/03,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03148939,RIPPUB,U,11,"March 17, 2020","March 26, 2020",,,"May 3, 1960",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15799044%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1951/04/19,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02733116,RIPPUB,U,7,"March 18, 2019","March 28, 2019",,,"April 19, 1951",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587414%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1959/10/28,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03031255,RIPPUB,U,12,"February 25, 2020","February 27, 2020",,,"October 28, 1959",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15787624%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1956/10/28,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03178382,RIPPUB,U,20,"October 25, 2019","October 31, 2019",,,"October 28, 1956",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15741981%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1959/12/16,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03007360,RIPPUB,U,10,"February 25, 2020","February 27, 2020",,,"December 16, 1959",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15787662%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1956/04/05,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02995592,RIPPUB,U,10,"October 25, 2019","October 31, 2019",,,"April 5, 1956",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15740235%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1952/06/25,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02684310,RIPPUB,U,7,"May 24, 2019","May 30, 2019",,,"June 25, 1952",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15638423%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1960/12/07,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03148928,RIPPUB,U,14,"March 17, 2020","March 26, 2020",,,"December 7, 1960",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15798733%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1951/05/19,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02733128,RIPPUB,U,8,"March 18, 2019","March 28, 2019",,,"May 19, 1951",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15587401%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1957/09/02,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03153709,RIPPUB,U,7,"December 12, 2019","December 20, 2019",,,"September 2, 1957",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15757474%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1960/12/16,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,02066872,RIPPUB,U,15,"March 17, 2020","March 26, 2020",,,"December 16, 1960",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15798946%5D.pdf
CENTRAL INTELLIGENCE BULLETIN - 1960/08/16,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03185153,RIPPUB,U,18,"March 17, 2020","March 26, 2020",,,"August 16, 1960",https://www.cia.gov/library/readingroom/docs/CENTRAL%20INTELLIGENCE%20BULL%5B15798909%5D.pdf
CURRENT INTELLIGENCE BULLETIN - 1955/04/26,SPECIALCOLLECTION,,Current/Central Intelligence Bulletin Collection,03181198,RIPPUB,U,9,"September 20, 2019","September 26, 2019",,,"April 26, 1955",https://www.cia.gov/library/readingroom/docs/CURRENT%20INTELLIGENCE%20BULL%5B15722671%5D.pdf
